region;code;mln;
Алтайский край;RU-ALT;2,131019;
Амурская обл.;RU-AMU;0,756272;
Архангельская обл.;RU-ARK;1,005585;
Астраханская обл.;RU-AST;0,950389;
Белгородская обл.;RU-BEL;1,514695;
Брянская обл.;RU-BRY;1,152633;
Владимирская обл.;RU-VLA;1,348456;
Волгоградская обл.;RU-VGG;2,468877;
Вологодская обл.;RU-VLG;1,12858;
Воронежская обл.;RU-VOR;2,284671;
Еврейская АО;RU-YEV;0,147432;
Забайкальский край;RU-ZAB;0,992202;
Ивановская обл.;RU-IVA;0,914493;
Иркутская обл.;RU-IRK;2,344331;
Кабардино-Балкарская Республика;RU-KB;0,903046;
Калининградская обл.;RU-KGD;1,032913;
Калужская обл.;RU-KLU;1,070264;
Камчатский край;RU-KAM;0,289033;
Карачаево-Черкесская Республика;RU-KC;0,468336;
Кемеровская обл. - Кузбасс;RU-KEM;2,56799;
Кировская обл.;RU-KIR;1,1382;
Костромская обл.;RU-KOS;0,571785;
Краснодарский край;RU-KDA;5,818377;
Красноярский край;RU-KYA;2,846;
Курганская обл.;RU-KGN;0,761546;
Курская обл.;RU-KRS;1,066341;
Ленинградская обл.;RU-LEN;2,027068;
Липецкая обл.;RU-LIP;1,125921;
Магаданская обл.;RU-MAG;0,134568;
Московская обл.;RU-MOS;8,594454;
Мурманская обл.;RU-MUR;0,65795;
Ненецкий АО;RU-NEN;0,041454;
Нижегородская обл.;RU-NIZ;3,081002;
Новгородская обл.;RU-NGR;0,575867;
Новосибирская обл.;RU-NVS;2,794315;
Омская обл.;RU-OMS;1,831881;
Оренбургская обл.;RU-ORE;1,841601;
Орловская обл.;RU-ORL;0,699998;
Пензенская обл.;RU-PNZ;1,246367;
Пермский край;RU-PER;2,508239;
Приморский край;RU-PRI;1,820125;
Псковская обл.;RU-PSK;0,587518;
Республика Адыгея (Адыгея);RU-AD;0,497704;
Республика Алтай;RU-AL;0,210797;
Республика Башкортостан;RU-BA;4,080684;
Республика Бурятия;RU-BU;0,975247;
Республика Дагестан;RU-DA;3,209799;
Республика Ингушетия;RU-IN;0,518952;
Республика Калмыкия;RU-KL;0,26421;
Республика Карелия;RU-KR;0,527821;
Республика Коми;RU-KO;0,725969;
Республика Крым;RU-KRM;1,915646;
Республика Марий Эл;RU-ME;0,672093;
Республика Мордовия;RU-MO;0,771086;
Республика Саха (Якутия);RU-SA;0,996243;
Республика Северная Осетия - Алания;RU-SE;0,680605;
Республика Татарстан (Татарстан);RU-TA;4,001941;
Республика Тыва;RU-TY;0,337299;
Республика Хакасия;RU-KK;0,530052;
Ростовская обл.;RU-ROS;4,163708;
Рязанская обл.;RU-RYA;1,088308;
Самарская обл.;RU-SAM;3,142152;
Саратовская обл.;RU-SAR;2,404198;
Сахалинская обл.;RU-SAK;0,459985;
Свердловская обл.;RU-SVE;4,239311;
Смоленская обл.;RU-SMO;0,873451;
Ставропольский край;RU-STA;2,890902;
Тамбовская обл.;RU-TAM;0,965734;
Тверская обл.;RU-TVE;1,210692;
Томская обл.;RU-TOM;1,051998;
Тульская обл.;RU-TUL;1,479294;
Тюменская обл.;RU-TYU;1,537416;
Удмуртская Республика;RU-UD;1,442292;
Ульяновская обл.;RU-ULY;1,180725;
Хабаровский край;RU-KHA;1,283992;
Ханты-Мансийский АО - Югра;RU-KHM;1,729472;
Челябинская обл.;RU-CHE;3,406371;
Чеченская Республика;RU-CE;1,532205;
Чувашская Республика - Чувашия;RU-CU;1,173231;
Чукотский АО;RU-CHU;0,047514;
Ямало-Ненецкий АО;RU-YAN;0,511874;
Ярославская обл.;RU-YAR;1,194535;
г. Москва;RU-MOW;13,097539;
г. Санкт-Петербург;RU-SPE;5,598486;
город федерального значения Севастополь;-;0,556304;
